province,Latitude,Longitude
Shandong,36.666344,117.07653
Shandong,36.666344,117.07653
Shandong,36.666344,117.07653
Shandong,36.651175,116.997475
Shandong,36.651301,116.90113
Shandong,36.670479,117.026946
Shandong,36.664679,117.019833
Shandong,36.664679,117.019833
Shandong,36.665294,117.004421
Shandong,36.661476,117.010657
Shandong,36.665294,117.004421
Shandong,36.788031,116.951645
Shandong,36.678016,116.987492
Shandong,36.678016,116.987492
Shandong,36.813421,116.964786
Shandong,36.680171,117.065222
Shandong,36.283392,116.448421
Shandong,37.133345,117.438015
Shandong,36.879893,116.983402
Shandong,36.890253,116.973517
Shandong,37.054764,117.084361
Shandong,36.952169,116.999854
Shandong,36.903595,116.964026
Shandong,36.937697,116.975914
Shandong,36.63732,117.45001
Shandong,36.714015,117.534326
Shandong,36.06544,120.371066
Shandong,36.061696,120.330013
Shandong,36.065743,120.365446
Shandong,36.066739,120.37024
Shandong,36.067525,120.320681
Shandong,35.960935,120.198054
Shandong,36.279328,120.010602
Shandong,36.829728,118.037903
Shandong,36.825513,118.314225
Shandong,36.799132,118.200543
Shandong,36.879473,118.184954
Shandong,36.799132,118.200543
Shandong,36.827343,118.308977
Shandong,36.797843,117.847668
Shandong,36.966661,118.110553
Shandong,36.959623,118.097955
Shandong,37.006529,118.061644
Shandong,36.99761,117.996303
Shandong,34.915252,117.567116
Shandong,34.889173,117.546755
Shandong,34.795206,117.263157
Shandong,34.795206,117.263157
Shandong,34.8606,117.463985
Shandong,34.546663,117.561851
Shandong,34.546663,117.561851
Shandong,34.562528,117.733832
Shandong,34.926246,117.216972
Shandong,35.087242,117.152631
Shandong,37.644985,120.485359
Shandong,37.177017,119.942327
Shandong,37.810661,120.758848
Shandong,37.380222,120.874573
Shandong,36.708725,119.107969
Shandong,36.7281,119.024836
Shandong,36.721429,119.08439
Shandong,36.71006,119.117029
Shandong,36.71006,119.117029
Shandong,36.71006,119.117029
Shandong,36.845697,119.038146
Shandong,36.654448,119.166485
Shandong,36.654448,119.166485
Shandong,36.686945,119.144819
Shandong,36.67853,118.482617
Shandong,36.648485,118.484876
Shandong,36.65286,118.48191
Shandong,35.958066,119.43495
Shandong,36.85548,118.790652
Shandong,36.425659,119.194218
Shandong,36.375518,119.770982
Shandong,36.860016,119.416365
Shandong,35.40819,116.596614
Shandong,35.397036,116.577627
Shandong,35.409103,116.577358
Shandong,35.409103,116.577358
Shandong,35.398513,116.592427
Shandong,35.40819,116.596614
Shandong,35.40819,116.596614
Shandong,35.411498,116.589429
Shandong,35.410803,116.590067
Shandong,34.598746,117.373268
Shandong,35.232276,116.741215
Shandong,34.998336,116.661964
